LogLikelihood (p_value<0.1),Degree,Size,Pair Degree,Intersection Size,Singular Value
email-Enron,-2.4 (0.01),2.6 (0.01),-0.1 (0.94),1.9 (0.05),3.4 (0.00)
email-Eu,-0.5 (0.59),20.5 (0.00),0.6 (0.57),105.1 (0.00),6.6 (0.00)
contact-high,0.6 (0.56),42.1 (0.00),2.2 (0.03),101.0 (0.00),5.6 (0.00)
contact-primary,-5.3 (0.00),58.2 (0.00),2.1 (0.04),183.4 (0.00),6.0 (0.00)
NDC-classes,9.5 (0.00),2.0 (0.05),35.9 (0.00),4.7 (0.00),3.1 (0.00)
NDC-substances,2.6 (0.01),6.0 (0.00),1.3 (0.19),40.0 (0.00),10.3 (0.00)
tags-ubuntu,4.2 (0.00),84.9 (0.00),3.9 (0.00),5628.8 (0.00),9.2 (0.00)
tags-math,8.0 (0.00),9.4 (0.00),5.4 (0.00),3622.8 (0.00),8.5 (0.00)
threads-ubuntu,11.8 (0.00),4.4 (0.00),11.3 (0.00),17483.4 (0.00),18.9 (0.00)
threads-math,13.5 (0.00),3.4 (0.00),42.4 (0.00),820.7 (0.00),8.7 (0.00)
coauth-Geology,0.9 (0.39),4.2 (0.00),4.9 (0.00),11.1 (0.00),11.0 (0.00)
coauth-History,5.3 (0.00),2.5 (0.01),132.9 (0.00),6.7 (0.00),8.3 (0.00)
house-bills,-0.8 (0.43),24.3 (0.00),-0.7 (0.46),103.9 (0.00),16.1 (0.00)
senate-bills,1.2 (0.23),-0.4 (0.66),5.5 (0.00),33.5 (0.00),4.8 (0.00)
house-committees,1.1 (0.23),1.3 (0.19),-1.8 (0.07),16.4 (0.00),9.5 (0.00)
senate-committees,-1.7 (0.08),0.8 (0.40),2.2 (0.03),22.7 (0.00),2.5 (0.01)
trivago-clicks,2.5 (0.01),3.2 (0.00),11.2 (0.00),1226.2 (0.00),8.5 (0.00)
walmart-trips,3.3 (0.00),-25.9 (0.00),8.9 (0.00),3424.2 (0.00),10.6 (0.00)
